区间,频率,PK+ 电平,PK+: QPK 限值,PK+ 容许极限,AVG 电平,AVG 限值,AVG 容许极限,修正,线,备注
,MHz,dBµV,dBµV,dB,dBµV,dBµV,dB,dB,,
1,0.1500000,25.25143,79,53.74857,15.63302,66,50.36698,19.39,"L1",
1,0.1541458,25.27455,79,53.72545,15.3812,66,50.6188,19.39,"L1",
1,0.1582917,25.79011,79,53.20989,15.3832,66,50.6168,19.39,"L1",
1,0.1624375,25.8903,79,53.1097,15.67583,66,50.32417,19.39,"L1",
1,0.1665833,25.63631,79,53.36369,15.80173,66,50.19827,19.39,"L1",
1,0.1707292,25.29533,79,53.70467,15.79758,66,50.20242,19.39,"L1",
1,0.1748750,25.03252,79,53.96748,15.3346,66,50.6654,19.39,"L1",
1,0.1790208,24.39169,79,54.60831,15.26723,66,50.73277,19.39,"L1",
1,0.1831667,24.64816,79,54.35184,15.2905,66,50.7095,19.39,"L1",
1,0.1873125,25.20372,79,53.79628,15.20044,66,50.79956,19.39,"L1",
1,0.1914583,25.35503,79,53.64497,15.17781,66,50.82219,19.39,"L1",
1,0.1956042,25.28325,79,53.71675,15.1905,66,50.8095,19.39,"L1",
1,0.1997500,25.40347,79,53.59653,15.43624,66,50.56376,19.39,"L1",
1,0.2038958,24.94279,79,54.05721,15.34239,66,50.65761,19.39,"L1",
1,0.2080417,25.59418,79,53.40582,15.40753,66,50.59247,19.39,"L1",
1,0.2121875,25.6573,79,53.3427,15.22892,66,50.77108,19.39,"L1",
1,0.2163333,26.49365,79,52.50635,15.39694,66,50.60306,19.39,"L1",
1,0.2204792,26.7031,79,52.2969,15.5632,66,50.4368,19.39,"L1",
1,0.2246250,25.28074,79,53.71926,15.13983,66,50.86017,19.39,"L1",
1,0.2287708,25.29617,79,53.70383,14.97815,66,51.02185,19.39,"L1",
1,0.2329167,25.46487,79,53.53513,15.21027,66,50.78973,19.39,"L1",
1,0.2370625,25.91264,79,53.08736,15.36489,66,50.63511,19.39,"L1",
1,0.2412083,25.81535,79,53.18465,15.30489,66,50.69511,19.39,"L1",
1,0.2453542,25.35204,79,53.64796,15.27953,66,50.72047,19.39,"L1",
1,0.2495000,24.5629,79,54.4371,15.08036,66,50.91964,19.39,"L1",
